# First 4520 nontrivial Riemann zeta zeros (imaginary parts gamma_n)
# Source: David Platt computation, LMFDB (lmfdb.org/zeros/zeta), interval t in (14, 5000]
# Decoded from Platt binary format (100-bit precision). First 5 match Odlyzko published values.
n,gamma
1541,2025.878906202
1542,2026.738258912
1543,2027.573317056
1544,2028.582459354
1545,2029.385479551
1546,2031.750550691
1547,2032.420780856
1548,2033.017892746
1549,2034.554828789
1550,2035.077440096
1551,2036.527526483
1552,2037.217111094
1553,2038.841738251
1554,2039.443218740
1555,2040.839119673
1556,2042.344586251
1557,2043.217116563
1558,2044.121593292
1559,2045.037320860
1560,2045.802760432
1561,2047.098336346
1562,2048.454094066
1563,2049.847525606
1564,2050.906055385
1565,2051.718388196
1566,2052.407790192
1567,2054.059916898
1568,2055.180267326
1569,2055.572602899
1570,2056.620866690
1571,2058.450651119
1572,2059.448021744
1573,2060.868247208
1574,2061.367059202
1575,2062.572650920
1576,2063.283559498
1577,2064.304867700
1578,2065.832672282
1579,2066.985229378
1580,2068.345638527
1581,2068.669941083
1582,2070.504717593
1583,2071.377083170
1584,2071.990454815
1585,2073.397603716
1586,2074.171064902
1587,2075.028065545
1588,2077.117570137
1589,2078.155484639
1590,2078.939288115
1591,2079.567628462
1592,2080.910343458
1593,2081.799686564
1594,2083.300276859
1595,2083.779992550
1596,2085.389813692
1597,2086.580318534
1598,2087.473340988
1599,2088.712281199
1600,2090.036206757
1601,2090.447550027
1602,2091.221580661
1603,2092.473218110
1604,2094.335917469
1605,2095.138256660
1606,2096.346529979
1607,2097.371606357
1608,2097.951922200
1609,2099.311651265
1610,2100.593745237
1611,2101.135489459
1612,2102.535100215
1613,2103.390454809
1614,2105.372206592
1615,2105.994704339
1616,2107.172362432
1617,2107.617911408
1618,2108.938384889
1619,2109.963143181
1620,2110.822371848
1621,2112.907087523
1622,2113.483966448
1623,2114.396137326
1624,2115.506602795
1625,2116.900056068
1626,2117.722399441
1627,2118.618646217
1628,2119.456428469
1629,2120.691562592
1630,2122.465151175
1631,2123.344042303
1632,2124.370368738
1633,2125.512400029
1634,2125.958784840
1635,2126.975711193
1636,2128.752290554
1637,2129.406080228
1638,2130.555102283
1639,2132.080620993
1640,2132.798516468
1641,2134.154933985
1642,2134.950772504
1643,2136.086897525
1644,2136.967470548
1645,2137.509940526
1646,2139.380759985
1647,2140.949362639
1648,2141.710035960
1649,2142.355043196
1650,2143.374444181
1651,2144.895337431
1652,2145.505753734
1653,2146.625894476
1654,2147.785367346
1655,2149.151849383
1656,2149.910639858
1657,2151.776885116
1658,2152.390226597
1659,2153.011964165
1660,2154.263623952
1661,2154.935345848
1662,2156.394727256
1663,2157.856489565
1664,2158.878072291
1665,2159.902286017
1666,2160.853062328
1667,2161.692172189
1668,2163.107122286
1669,2164.049720356
1670,2165.011437174
1671,2165.503949023
1672,2167.693444255
1673,2168.890615852
1674,2169.263829283
1675,2170.787074973
1676,2171.396361926
1677,2172.250962828
1678,2173.528296969
1679,2174.745020803
1680,2176.204119466
1681,2176.939451699
1682,2178.004209155
1683,2179.232185030
1684,2180.495318259
1685,2181.252367011
1686,2181.725783030
1687,2183.330584017
1688,2184.103190761
1689,2185.965528321
1690,2187.085690959
1691,2187.798455878
1692,2188.558763203
1693,2189.497072903
1694,2191.093363046
1695,2191.778017401
1696,2192.826770540
1697,2194.231530050
1698,2195.231687681
1699,2196.715977667
1700,2197.258747040
1701,2198.687512684
1702,2199.302965321
1703,2200.351020913
1704,2200.915953026
1705,2203.277453731
1706,2203.906364584
1707,2204.997801755
1708,2205.855761246
1709,2207.172161915
1710,2207.802741337
1711,2209.153744400
1712,2210.208014989
1713,2210.850941099
1714,2212.343568400
1715,2213.700256248
1716,2214.949925632
1717,2215.820565691
1718,2216.296375888
1719,2217.469375116
1720,2218.521006913
1721,2219.799815698
1722,2220.852158849
1723,2222.636604588
1724,2223.055057919
1725,2223.777772507
1726,2225.564645117
1727,2226.332734406
1728,2227.246229377
1729,2227.970573882
1730,2229.127958910
1731,2230.898690856
1732,2231.977154074
1733,2232.924853869
1734,2233.720222250
1735,2234.814934531
1736,2235.546662136
1737,2236.773643845
1738,2238.154799519
1739,2239.167743960
1740,2240.021209470
1741,2241.536186524
1742,2242.621180159
1743,2243.373668419
1744,2244.370701700
1745,2245.565286531
1746,2246.016558178
1747,2247.364431251
1748,2249.550198574
1749,2249.770766553
1750,2251.046641942
1751,2251.845318339
1752,2252.678432674
1753,2254.562246994
1754,2254.759079001
1755,2255.824565572
1756,2257.346384683
1757,2258.501847291
1758,2259.517842057
1759,2260.890259417
1760,2261.660064449
1761,2262.674430648
1762,2262.878305381
1763,2264.676399706
1764,2265.768446115
1765,2267.384501068
1766,2267.879175337
1767,2269.226998262
1768,2269.919103217
1769,2271.326282468
1770,2272.049015701
1771,2273.347534053
1772,2273.956289146
1773,2275.068664776
1774,2277.079317757
1775,2278.012628393
1776,2278.525942156
1777,2279.507305841
1778,2280.870719853
1779,2281.356483615
1780,2282.690375138
1781,2284.056011459
1782,2285.222242365
1783,2286.149814141
1784,2287.046158671
1785,2288.578849446
1786,2289.336284710
1787,2290.241458211
1788,2291.097663612
1789,2291.928901252
1790,2293.896145106
1791,2294.687918412
1792,2296.115091188
1793,2296.998522473
1794,2297.372647580
1795,2298.612363366
1796,2299.961577620
1797,2301.234125799
1798,2301.454840352
1799,2303.295481983
1800,2304.305138670
1801,2305.508356789
1802,2306.517733070
1803,2307.355553370
1804,2308.210284635
1805,2309.370358240
1806,2309.931122384
1807,2312.047996450
1808,2313.190914171
1809,2313.689359967
1810,2314.621182114
1811,2316.049454720
1812,2316.962494505
1813,2317.851531864
1814,2318.826035336
1815,2320.088523204
1816,2320.949531629
1817,2322.812632607
1818,2323.534274241
1819,2324.512455232
1820,2325.557096492
1821,2325.903015928
1822,2327.376855820
1823,2328.634875101
1824,2329.705723406
1825,2331.013110290
1826,2331.942707806
1827,2332.987765433
1828,2333.720863374
1829,2335.531712574
1830,2335.867153806
1831,2336.621036786
1832,2337.761730159
1833,2339.615683896
1834,2340.826726707
1835,2341.324596186
1836,2342.654041658
1837,2343.259158955
1838,2344.311216236
1839,2345.570483634
1840,2346.464119530
1841,2347.934254642
1842,2348.843423633
1843,2349.730054258
1844,2351.455046928
1845,2352.195701503
1846,2352.750870075
1847,2353.912135852
1848,2354.951081235
1849,2355.810813978
1850,2357.608315920
1851,2358.904705198
1852,2359.434859076
1853,2360.314285090
1854,2361.342541642
1855,2362.718317923
1856,2363.495617654
1857,2364.751176089
1858,2365.191515064
1859,2367.249219843
1860,2367.957701823
1861,2369.220577767
1862,2370.093390284
1863,2371.100747930
1864,2371.938137795
1865,2372.440347260
1866,2374.444230718
1867,2375.543967037
1868,2376.355463516
1869,2377.755407914
1870,2378.212961680
1871,2379.726502950
1872,2380.545657219
1873,2381.500123710
1874,2382.530830566
1875,2383.356013916
1876,2384.965071641
1877,2386.430937110
1878,2387.299084122
1879,2387.813568556
1880,2388.748207635
1881,2389.955988114
1882,2391.260549872
1883,2391.754982337
1884,2393.630593292
1885,2394.485367856
1886,2395.270169995
1887,2396.603878763
1888,2397.791643762
1889,2398.558311383
1890,2399.433832906
1891,2400.152356522
1892,2401.482998376
1893,2403.418798445
1894,2403.975315149
1895,2404.921593490
1896,2406.253988718
1897,2406.732851182
1898,2407.715910422
1899,2409.441502352
1900,2409.881602683
1901,2411.126193381
1902,2412.222935837
1903,2413.976123195
1904,2414.379879801
1905,2415.576893466
1906,2416.534054628
1907,2417.278087422
1908,2418.229443267
1909,2419.507917163
1910,2421.142943993
1911,2422.152084925
1912,2422.996230123
1913,2423.504146889
1914,2425.124760213
1915,2426.193437542
1916,2426.907064294
1917,2427.640896949
1918,2429.185595990
1919,2430.265812636
1920,2431.611135096
1921,2432.727569299
1922,2433.705896805
1923,2433.916873238
1924,2435.348894365
1925,2436.191600375
1926,2437.794076108
1927,2438.671790794
1928,2439.927127219
1929,2440.826160291
1930,2441.929836550
1931,2443.033560058
1932,2443.775436396
1933,2445.154381015
1934,2445.744952101
1935,2446.398523306
1936,2448.988312286
1937,2449.231032009
1938,2450.503650580
1939,2451.181708310
1940,2452.283365741
1941,2453.257485812
1942,2454.300561842
1943,2455.482288384
1944,2456.514551841
1945,2457.907999090
1946,2458.546799837
1947,2460.013579466
1948,2461.202295375
1949,2461.731628648
1950,2462.464294914
1951,2463.569667295
1952,2464.927816361
1953,2466.183097013
1954,2467.640860784
1955,2468.186816301
1956,2469.336263892
1957,2469.781485032
1958,2471.539297742
1959,2472.336417589
1960,2473.107124735
1961,2474.237849734
1962,2475.539353861
1963,2477.021755096
1964,2478.014854025
1965,2478.397597583
1966,2479.977351981
1967,2480.433606985
1968,2481.356767280
1969,2482.683411519
1970,2484.503238275
1971,2485.087590537
1972,2485.785620712
1973,2487.333836443
1974,2488.113831754
1975,2489.261157452
1976,2490.051090516
1977,2491.105516422
1978,2491.907473934
1979,2493.489295449
1980,2494.866177828
1981,2495.846840420
1982,2496.485336703
1983,2497.648465247
1984,2497.969973967
1985,2499.862042821
1986,2500.564386412
1987,2501.577744672
1988,2503.185227212
1989,2504.008933659
1990,2504.772152511
1991,2506.305351937
1992,2507.151885648
1993,2507.871039580
1994,2508.766046104
1995,2509.652997441
1996,2511.660189787
1997,2512.538220985
1998,2513.579517021
1999,2514.259859060
2000,2515.286482925
2001,2516.571049143
2002,2517.146931880
2003,2518.552852041
2004,2519.634252640
2005,2520.402323518
2006,2521.885175646
2007,2523.263480156
2008,2523.967055819
2009,2524.642045796
2010,2525.687993325
2011,2526.868810059
2012,2527.418791161
2013,2529.378043463
2014,2530.273672274
2015,2531.543961220
2016,2531.969384082
2017,2533.067317099
2018,2534.408614098
2019,2535.505886074
2020,2536.091884921
2021,2536.867485223
2022,2538.559826936
2023,2539.998407119
2024,2540.531661937
2025,2541.998729154
2026,2542.687650515
2027,2543.343955089
2028,2544.290953657
2029,2545.878017730
2030,2546.761141283
2031,2548.181615394
2032,2548.895987575
2033,2549.996484492
2034,2551.411141993
2035,2551.880445960
2036,2553.275677996
2037,2553.723069201
2038,2555.050875291
2039,2555.832350747
2040,2558.009105943
2041,2558.752211368
2042,2559.234296597
2043,2560.263289514
2044,2561.405635748
2045,2562.426113338
2046,2563.501718904
2047,2564.332107854
2048,2565.975270478
2049,2566.557557897
2050,2567.958599725
2051,2569.043090173
2052,2569.948111597
2053,2570.958525662
2054,2571.540774148
2055,2572.368208186
2056,2574.207163950
2057,2575.404511997
2058,2576.141011184
2059,2577.519835533
2060,2578.070129925
2061,2578.971298336
2062,2580.346111565
2063,2581.398140582
2064,2582.138733931
2065,2583.003294535
2066,2584.758402442
2067,2585.772739404
2068,2586.925178957
2069,2587.591000924
2070,2588.368210424
2071,2589.579264554
2072,2590.371692926
2073,2591.549378448
2074,2593.275876807
2075,2594.023618335
2076,2594.905011552
2077,2595.687530139
2078,2597.546141488
2079,2597.979353418
2080,2598.598768320
2081,2600.121355062
2082,2600.641952319
2083,2602.412300558
2084,2603.628781118
2085,2604.573564824
2086,2605.368075916
2087,2606.243664548
2088,2607.003639114
2089,2608.364899649
2090,2609.552086741
2091,2610.444520939
2092,2611.543670381
2093,2612.956807037
2094,2613.731929438
2095,2614.737136165
2096,2615.847707268
2097,2616.902118244
2098,2617.335046935
2099,2618.292915478
2100,2620.279393694
2101,2621.429055213
2102,2622.048696798
2103,2622.994507976
2104,2624.050603855
2105,2624.909501777
2106,2626.460502230
2107,2626.710471396
2108,2628.098026524
2109,2629.604139511
2110,2629.994800764
2111,2632.043116637
2112,2632.443658949
2113,2633.676399940
2114,2633.966543434
2115,2635.217331617
2116,2636.432585995
2117,2637.510683358
2118,2639.062573045
2119,2640.054245884
2120,2640.462942829
2121,2641.801744784
2122,2642.755759063
2123,2643.970900958
2124,2644.887867143
2125,2645.395567279
2126,2646.689940173
2127,2648.577429284
2128,2649.325653552
2129,2650.058544458
2130,2651.227331332
2131,2652.160775242
2132,2652.770642827
2133,2653.897069746
2134,2655.615772326
2135,2656.238998498
2136,2657.537760758
2137,2658.341557630
2138,2659.658316021
2139,2660.610245803
2140,2661.582573758
2141,2662.183573436
2142,2663.393945622
2143,2664.235489083
2144,2666.030101479
2145,2666.982849071
2146,2668.291859037
2147,2668.663651401
2148,2669.253744888
2149,2670.998998582
2150,2671.918382669
2151,2672.603779588
2152,2673.874618711
2153,2675.271759130
2154,2676.066490230
2155,2677.246193893
2156,2678.538156522
2157,2679.025281596
2158,2680.039021548
2159,2680.843117133
2160,2681.841051456
2161,2683.882275551
2162,2684.529156905
2163,2685.377113427
2164,2686.496160151
2165,2687.489939808
2166,2688.385081596
2167,2689.423275981
2168,2690.633186856
2169,2691.318382840
2170,2692.368718959
2171,2694.102820613
2172,2695.208957969
2173,2695.750049240
2174,2696.695372582
2175,2697.857558217
2176,2698.290961321
2177,2699.942027500
2178,2700.731207011
2179,2702.433544848
2180,2703.143657511
2181,2703.981714245
2182,2704.955737551
2183,2706.528247327
2184,2707.090764646
2185,2708.117069229
2186,2708.476524961
2187,2710.368359824
2188,2711.458227864
2189,2712.786687335
2190,2713.525289303
2191,2714.367906689
2192,2715.339871631
2193,2716.025049050
2194,2717.665774871
2195,2718.308652474
2196,2719.770998978
2197,2720.493474900
2198,2721.798775617
2199,2723.086082744
2200,2723.768928850
2201,2724.523924437
2202,2725.882989203
2203,2726.479701034
2204,2727.274459432
2205,2729.395041669
2206,2730.492891807
2207,2730.797702080
2208,2732.004049914
2209,2732.830123557
2210,2734.200782968
2211,2734.938856084
2212,2736.000479107
2213,2736.922048440
2214,2738.266444164
2215,2739.513547296
2216,2740.311109421
2217,2741.878852421
2218,2742.254107878
2219,2742.993068160
2220,2743.953469810
2221,2745.321831898
2222,2746.714798952
2223,2747.514097998
2224,2748.916191066
2225,2749.643649789
2226,2750.314083410
2227,2751.823671459
2228,2752.715502494
2229,2753.487796417
2230,2754.458663083
2231,2755.416876191
2232,2757.301868214
2233,2758.278103328
2234,2758.858670969
2235,2759.898613920
2236,2760.657151540
2237,2762.082880143
2238,2762.444580468
2239,2764.041846252
2240,2765.407691146
2241,2766.157035590
2242,2766.887269747
2243,2768.664523888
2244,2769.144698796
2245,2770.279093643
2246,2771.017392143
2247,2771.896293662
2248,2773.029713424
2249,2774.670010732
2250,2775.725707342
2251,2776.619160308
2252,2777.512125203
2253,2778.289695300
2254,2779.127539134
2255,2780.771118379
2256,2781.656070228
2257,2781.989239655
2258,2783.943665287
2259,2784.705283876
2260,2786.043335739
2261,2786.702566351
2262,2787.932021259
2263,2788.796278015
2264,2789.197561121
2265,2790.493080791
2266,2792.113378557
2267,2793.301469241
2268,2794.238093335
2269,2794.653824665
2270,2796.034761604
2271,2797.174539352
2272,2797.972901230
2273,2798.798140177
2274,2800.067444818
2275,2800.937603116
2276,2802.224801536
2277,2803.864955138
2278,2804.418935676
2279,2805.205300363
2280,2806.002732417
2281,2807.132318371
2282,2808.153501198
2283,2809.291652245
2284,2810.724634083
2285,2811.460992226
2286,2812.861997588
2287,2813.201488028
2288,2814.656757981
2289,2815.838653993
2290,2816.337954815
2291,2817.458907317
2292,2817.949462161
2293,2820.488842022
2294,2820.660841054
2295,2821.891930075
2296,2822.923026217
2297,2823.866992057
2298,2824.281884122
2299,2825.872656690
2300,2826.712170375
2301,2828.029973946
2302,2828.851526591
2303,2830.087545290
2304,2831.128425437
2305,2832.416550858
2306,2833.138035852
2307,2833.658717233
2308,2834.980248463
2309,2835.775847745
2310,2837.014472081
2311,2838.812881529
2312,2839.485753395
2313,2840.285754911
2314,2840.920672973
2315,2842.332641081
2316,2843.469837885
2317,2844.198986963
2318,2845.025433610
2319,2846.390776213
2320,2847.535935530
2321,2848.770308555
2322,2849.797086647
2323,2850.471888197
2324,2851.678938036
2325,2852.303726568
2326,2852.926214765
2327,2854.832394232
2328,2855.853721193
2329,2856.816133544
2330,2857.736139808
2331,2858.857860356
2332,2859.838748954
2333,2860.577436498
2334,2862.120208234
2335,2862.506966278
2336,2863.363589552
2337,2864.911426759
2338,2866.493209756
2339,2867.149356094
2340,2868.224163663
2341,2868.657629194
2342,2869.843456575
2343,2870.909506375
2344,2872.023511114
2345,2872.858555183
2346,2874.569154073
2347,2875.282119166
2348,2875.889914340
2349,2877.546649154
2350,2878.527002624
2351,2879.119907547
2352,2879.868973937
2353,2880.978994738
2354,2882.153646391
2355,2884.013657553
2356,2884.346757790
2357,2885.773055403
2358,2886.308874640
2359,2887.224885507
2360,2888.394382456
2361,2889.404168048
2362,2890.642626362
2363,2891.280078215
2364,2892.462624017
2365,2894.174448737
2366,2894.746550356
2367,2895.641103862
2368,2896.825405168
2369,2897.428300567
2370,2898.541353180
2371,2899.177779837
2372,2901.263850362
2373,2902.065102481
2374,2902.855785529
2375,2903.957879043
2376,2904.598196022
2377,2906.176417597
2378,2906.923339343
2379,2907.605736911
2380,2908.658045520
2381,2910.028233435
2382,2911.142903665
2383,2912.345904726
2384,2913.522785867
2385,2914.044611072
2386,2914.802702224
2387,2915.685975327
2388,2917.274173441
2389,2917.982416702
2390,2919.321772327
2391,2920.615555992
2392,2921.083198937
2393,2922.396084557
2394,2923.390932357
2395,2924.333434994
2396,2925.261509119
2397,2926.295436226
2398,2926.624014686
2399,2928.761073847
2400,2930.004366372
2401,2930.711168697
2402,2931.069101110
2403,2932.806414416
2404,2933.174857162
2405,2934.290717836
2406,2935.552463706
2407,2936.550374849
2408,2937.708958982
2409,2938.581220351
2410,2939.847529163
2411,2941.261601535
2412,2941.425217756
2413,2942.724885865
2414,2943.353684960
2415,2944.321648794
2416,2945.944499286
2417,2946.922394896
2418,2948.374261865
2419,2948.867577209
2420,2949.790143026
2421,2950.521108352
2422,2952.283829639
2423,2952.827176584
2424,2953.589030994
2425,2954.711275291
2426,2956.258730424
2427,2957.236259247
2428,2958.290776254
2429,2959.221014235
2430,2960.033617812
2431,2960.814839266
2432,2961.825970575
2433,2962.819636335
2434,2964.633921495
2435,2965.398341584
2436,2966.065269746
2437,2967.270190427
2438,2968.405348995
2439,2969.401136656
2440,2970.049930111
2441,2971.122238125
2442,2972.308884109
2443,2972.811686391
2444,2975.018020413
2445,2975.619957166
2446,2976.526232137
2447,2977.553574913
2448,2977.981978513
2449,2979.319042212
2450,2980.487381007
2451,2981.343947482
2452,2982.523719896
2453,2983.825333267
2454,2984.639177804
2455,2985.547666235
2456,2986.805393383
2457,2987.856151502
2458,2988.634699667
2459,2988.855046367
2460,2990.423270574
2461,2992.163668675
2462,2992.868866378
2463,2993.974353093
2464,2994.865507047
2465,2995.540266916
2466,2996.736506016
2467,2997.647203114
2468,2998.959301098
2469,2999.494492995
2470,3001.023331163
2471,3001.707332456
2472,3003.477042853
2473,3004.290975917
2474,3004.662308408
2475,3005.772929285
2476,3006.990738365
2477,3007.468699216
2478,3008.882120872
2479,3010.514962129
2480,3011.344380181
2481,3012.074694786
2482,3012.788450549
2483,3014.459082207
2484,3014.911666503
2485,3016.348394170
2486,3016.700060813
2487,3017.783440192
2488,3019.461775780
2489,3020.487633897
2490,3021.420400693
2491,3022.447483793
2492,3023.338509068
2493,3023.930996074
2494,3024.793963871
2495,3026.510826908
2496,3027.299522807
2497,3028.401522529
2498,3029.499388370
2499,3030.594529651
2500,3031.289217468
2501,3032.756029360
2502,3033.218123973
2503,3034.360907192
2504,3035.074103948
2505,3036.133113238
2506,3037.980383590
2507,3039.033651044
2508,3039.521601572
2509,3040.500427565
2510,3041.256803550
2511,3042.653049854
2512,3043.670541622
2513,3044.055127982
2514,3046.050030225
2515,3046.454504219
2516,3047.708817641
2517,3048.922632490
2518,3050.019676757
2519,3050.801233316
2520,3051.342383341
2521,3052.476848524
2522,3053.348265937
2523,3054.986520867
2524,3056.242923310
2525,3056.765138113
2526,3058.013703010
2527,3058.901494693
2528,3059.437861758
2529,3061.062700118
2530,3061.837584445
2531,3062.726873165
2532,3063.435086485
2533,3065.286555585
2534,3066.320250404
2535,3067.071320241
2536,3068.013501342
2537,3068.984266186
2538,3069.782904780
2539,3070.542621550
2540,3072.000993378
2541,3073.185237780
2542,3074.523494285
2543,3075.033872877
2544,3075.833479242
2545,3077.427473307
2546,3078.286226918
2547,3078.897379147
2548,3079.871394643
2549,3080.856382342
2550,3082.163163759
2551,3083.361357990
2552,3084.838451504
2553,3085.377268994
2554,3085.965522259
2555,3087.018815359
2556,3088.083437042
2557,3089.222308945
2558,3090.282194903
2559,3091.154469698
2560,3092.687667040
2561,3093.185445718
2562,3094.833068430
2563,3095.132031239
2564,3096.515485513
2565,3097.342606531
2566,3098.038354973
2567,3098.758089849
2568,3101.079373087
2569,3101.657370790
2570,3102.436089123
2571,3103.589916060
2572,3104.362546342
2573,3105.391402370
2574,3106.396352646
2575,3107.484255857
2576,3108.303596266
2577,3109.533099790
2578,3110.557200380
2579,3111.920727714
2580,3112.840737859
2581,3113.755213669
2582,3114.473416204
2583,3115.002672414
2584,3116.720450816
2585,3117.269723387
2586,3118.955013666
2587,3119.957556604
2588,3120.986214976
2589,3121.337219763
2590,3122.610128875
2591,3124.150225164
2592,3124.525922646
2593,3125.374441472
2594,3126.450116435
2595,3127.693012373
2596,3129.468612610
2597,3129.796205505
2598,3130.877663730
2599,3131.861090216
2600,3132.698331366
2601,3133.398883823
2602,3134.635445901
2603,3136.015560752
2604,3137.175172667
2605,3137.613495212
2606,3139.049508498
2607,3140.138494141
2608,3141.001174828
2609,3141.748032543
2610,3142.979456728
2611,3143.567499184
2612,3144.490488146
2613,3146.283528376
2614,3147.344606626
2615,3148.379041870
2616,3148.861228784
2617,3149.771738699
2618,3150.824652722
2619,3152.151059466
2620,3152.994559996
2621,3153.596976530
2622,3155.312108218
2623,3156.300357950
2624,3156.905761454
2625,3158.578287708
2626,3159.265204660
2627,3159.804097579
2628,3161.061912578
2629,3161.402435208
2630,3163.311959558
2631,3164.350531321
2632,3165.540597894
2633,3166.139586714
2634,3167.121094757
2635,3168.197515714
2636,3169.179764608
2637,3170.014131566
2638,3171.343958069
2639,3171.837774346
2640,3173.011633917
2641,3174.815385976
2642,3175.528722744
2643,3176.480343516
2644,3176.915636009
2645,3178.371705005
2646,3178.902595536
2647,3180.011213373
2648,3181.328501713
2649,3182.839446920
2650,3183.205673346
2651,3184.451499960
2652,3185.214344580
2653,3186.545869430
2654,3187.646162708
2655,3188.055482329
2656,3188.877460715
2657,3190.168661962
2658,3191.706256363
2659,3192.681791618
2660,3193.557208472
2661,3194.786707379
2662,3195.326699929
2663,3195.793895634
2664,3197.547165657
2665,3198.430125768
2666,3199.248977114
2667,3200.663270231
2668,3201.424866361
2669,3202.778286501
2670,3203.630891153
2671,3204.557410188
2672,3205.497580563
2673,3206.228893304
2674,3207.270062357
2675,3208.086133892
2676,3210.352420540
2677,3210.670388299
2678,3211.618832523
2679,3212.319227343
2680,3213.606498798
2681,3214.667562488
2682,3215.325298904
2683,3216.491524692
2684,3217.430804778
2685,3218.659983744
2686,3219.639171306
2687,3221.198341683
2688,3221.609476301
2689,3222.813840823
2690,3223.372566375
2691,3224.213706520
2692,3225.366715965
2693,3227.044102375
2694,3227.525149516
2695,3229.016311630
2696,3229.981066961
2697,3230.336636732
2698,3231.741347918
2699,3232.738713125
2700,3233.913360603
2701,3234.306591245
2702,3235.154617182
2703,3237.087579532
2704,3237.998236327
2705,3239.090434563
2706,3239.767314075
2707,3240.605747278
2708,3241.595312938
2709,3242.568307582
2710,3243.501652711
2711,3244.884157091
2712,3246.040157816
2713,3246.841676162
2714,3247.570503534
2715,3249.308085747
2716,3249.906446318
2717,3250.613324267
2718,3251.510637744
2719,3252.723990907
2720,3253.369017244
2721,3255.142076593
2722,3256.346612818
2723,3256.941943205
2724,3257.831340013
2725,3258.706714275
2726,3259.539730686
2727,3261.192124421
2728,3261.535312602
2729,3262.718968695
2730,3263.784940489
2731,3265.198771601
2732,3266.153786420
2733,3266.803954480
2734,3268.188517856
2735,3268.909408589
2736,3269.516785360
2737,3270.310803458
2738,3272.019397611
2739,3273.363032965
2740,3274.059953012
2741,3274.863567638
2742,3276.124154985
2743,3276.694554681
2744,3278.059478289
2745,3278.986193732
2746,3279.489509640
2747,3280.976418714
2748,3281.706690821
2749,3283.239124300
2750,3284.499863132
2751,3285.202828752
2752,3285.682259710
2753,3286.718540342
2754,3287.773091993
2755,3288.936972845
2756,3289.724306536
2757,3291.385725928
2758,3292.222642049
2759,3292.856716098
2760,3293.975869246
2761,3295.266663233
2762,3296.021754765
2763,3296.873142163
2764,3297.836842311
2765,3298.357878622
2766,3300.450576192
2767,3301.413776304
2768,3302.017097666
2769,3303.317261842
2770,3303.813719206
2771,3305.076177241
2772,3305.472088699
2773,3307.221711602
2774,3308.045402223
2775,3308.832877513
2776,3310.235706774
2777,3311.155306118
2778,3312.349459451
2779,3313.199876673
2780,3313.842662273
2781,3315.015013828
2782,3315.619742541
2783,3316.752453418
2784,3318.387470170
2785,3319.412648993
2786,3320.476699682
2787,3320.887941461
2788,3321.663572699
2789,3323.490923180
2790,3323.875124914
2791,3324.925684146
2792,3325.691627038
2793,3327.338441751
2794,3327.988269208
2795,3329.465583948
2796,3330.290400360
2797,3331.299404161
2798,3331.892288244
2799,3332.700898576
2800,3333.781382961
2801,3335.045996424
2802,3336.575968429
2803,3337.044211897
2804,3338.150407356
2805,3339.256673695
2806,3340.117152697
2807,3340.972263638
2808,3342.211554859
2809,3343.051722278
2810,3343.604908510
2811,3344.852255868
2812,3346.848430817
2813,3347.397830991
2814,3347.936001611
2815,3349.301027927
2816,3349.856252115
2817,3350.803704025
2818,3352.153804097
2819,3352.845364543
2820,3354.278231280
2821,3355.483680306
2822,3355.880578183
2823,3357.198154118
2824,3358.402699623
2825,3359.359283067
2826,3359.852404381
2827,3360.584153298
2828,3361.887588621
2829,3363.233878349
2830,3364.355763554
2831,3365.600957469
2832,3366.120883811
2833,3367.055542540
2834,3367.769443868
2835,3369.183728555
2836,3370.061651747
2837,3370.997536143
2838,3371.922445601
2839,3373.160140925
2840,3374.427471990
2841,3375.379955756
2842,3376.298386044
2843,3376.820970848
2844,3378.258956963
2845,3378.780608495
2846,3379.460192668
2847,3381.634647447
2848,3382.296714922
2849,3383.348489576
2850,3383.871212415
2851,3385.177310828
2852,3386.166295750
2853,3387.149564459
2854,3387.808777785
2855,3389.091880157
2856,3389.648879041
2857,3391.481233732
2858,3392.147572631
2859,3393.651785893
2860,3394.137666351
2861,3394.991106311
2862,3395.614850938
2863,3396.890066311
2864,3398.271677189
2865,3398.841197220
2866,3400.322476549
2867,3401.387450697
2868,3402.000441415
2869,3403.008864820
2870,3404.362761573
2871,3405.132918695
2872,3405.809942805
2873,3406.679482812
2874,3407.728314290
2875,3409.578736852
2876,3410.424565212
2877,3411.223633497
2878,3411.855830276
2879,3413.219036005
2880,3413.710819477
2881,3415.006415298
2882,3415.806623573
2883,3417.201725528
2884,3418.194842709
2885,3418.744246675
2886,3420.540582987
2887,3421.307537318
2888,3421.882420408
2889,3423.128594192
2890,3423.611394671
2891,3424.728989863
2892,3425.830917736
2893,3427.431811006
2894,3428.345014649
2895,3429.077161459
2896,3430.158809529
2897,3430.611618680
2898,3432.026366532
2899,3433.306331160
2900,3433.769710164
2901,3434.432930181
2902,3436.183607570
2903,3437.219161607
2904,3438.212616154
2905,3439.112430154
2906,3440.229299589
2907,3440.844025771
2908,3441.467977670
2909,3442.683392445
2910,3444.036570702
2911,3445.277432469
2912,3446.015386158
2913,3447.158925421
2914,3447.700517605
2915,3449.497002715
2916,3449.685001064
2917,3450.723487593
2918,3451.940669428
2919,3452.569816772
2920,3453.677893918
2921,3455.488799435
2922,3456.258614559
2923,3457.184172895
2924,3457.573598858
2925,3458.665410625
2926,3460.046064019
2927,3460.484230469
